NODE_KEY,CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY,ADDRESS_TYPE,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUDE
74867AD200E41EDBA5D8B06885664052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885668052,"Antioch,Illinois",60002,TiffanyRoad,54,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688566A052,SanFrancisco,94101,SummersetStreet,6,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688566C052,SanFrancisco,94101,RiselAvenue,35,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688566E052,SanFrancisco,94101,WindingWay,8,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885670052,NewYork,10011,11thAvenue,17,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885672052,SanFrancisco,94101,SanFernandoWay,10,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885674052,"Antioch,Illinois",60002,7thAvenue,32,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885676052,NewYork,10011,57thAvenue,19,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885678052,"Antioch,Illinois",60002,FillmoreStreet,59,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688567A052,London,EC1Y8SY,CastleLane,25,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688567C052,London,EC1Y8SY,WiltonRoad,24,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688567E052,London,EC1Y8SY,FloodStreet,18,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885680052,Berlin,10001,Drosselweg,28,DE,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885682052,SanFrancisco,94101,QueensBoulevard,15,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885684052,London,EC1Y8SY,ClaredonStreet,38,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885686052,Berlin,14129,Eiderstedterweg,22,DE,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885688052,Berlin,10001,Waldhterpfad,23,DE,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688568A052,SanFrancisco,94101,SilverAvenue,16,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688568C052,SanFrancisco,94101,PanoramaDrive,22,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688568E052,Berlin,10001,Motzstrae,33,DE,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885690052,London,EC1Y8SY,ChesterStreet,27,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885692052,NewYork,10011,21thStreet,31,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885694052,NewYork,10011,LexingtonAvenue,29,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885696052,NewYork,10011,387thStreet,30,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885698052,"Antioch,Illinois",60002,GrandAvenue,99,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688569A052,NewYork,10011,BleeckerStreet,32,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688569C052,SanFrancisco,94101,FernwoodAvenue,44,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688569E052,London,EC1Y8SY,ParadiseWalk,26,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856A0052,London,EC1Y8SY,WarwickSquare,35,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856A2052,NewYork,10011,ParkAvenue,43,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856A4052,ParisLaDfenseCedex,92309,Ruedel'Oasis,66,FR,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856A6052,Berlin,10001,Waldhterpfad,34,DE,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856A8052,Sainte-Foy-ls-Lyon,69110,AvenueValioud,37,FR,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856AA052,"Jongno-gu,Seoul",110-801,Gye-dong,133-13,FR,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856AC052,HongKong,0,ShepherdSt.,5,HK,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856AE052,Manila,1203,"BanuyoSt.,SanAntonioVillage,MakatiCity",9105,PH,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856B0052,"Konan,ShigaPrefecture",520-3234,4-Chome,137,JP,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B068856B2052,Hanoi,100000,V?Th?nh,26,VN,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688571C052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B0688571E052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885720052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885722052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885724052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885726052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885728052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B0688572A052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B0688572C052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B0688572E052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885730052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885732052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
