NODE_KEY                        ,PARENT_KEY                        ,LANGUAGE,TEXT                                                                                                                                                                                                                                                           
74867AD200E41EDBA5D8B06B26B50052,74867AD200E41EDBA5D8B06885C78052  ,E       ,Notebook Basic 15                                                                                                                                                                                                                                              
74867AD200E41EDBA5D8B06B26B54052,74867AD200E41EDBA5D8B06885C7A052  ,E       ,"Notebook Basic 15 with 2,80 GHz quad core, 15"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro                                                                                                                                                             "
74867AD200E41EDBA5D8B06B26B56052,74867AD200E41EDBA5D8B06885C7C052  ,E       ,Notebook Basic 17                                                                                                                                                                                                                                              
74867AD200E41EDBA5D8B06B26B5A052,74867AD200E41EDBA5D8B06885C7E052  ,E       ,"Notebook Basic 17 with 2,80 GHz quad core, 17"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro                                                                                                                                                             "
74867AD200E41EDBA5D8B06B26B5C052,74867AD200E41EDBA5D8B06885C80052  ,E       ,Notebook Basic 18                                                                                                                                                                                                                                              
74867AD200E41EDBA5D8B06B26B60052,74867AD200E41EDBA5D8B06885C82052  ,E       ,"Notebook Basic 18 with 2,80 GHz quad core, 18"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro                                                                                                                                                            "
74867AD200E41EDBA5D8B06B26B62052,74867AD200E41EDBA5D8B06885C84052  ,E       ,Notebook Basic 19                                                                                                                                                                                                                                              
74867AD200E41EDBA5D8B06B26B66052,74867AD200E41EDBA5D8B06885C86052  ,E       ,"Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro                                                                                                                                                            "
74867AD200E41EDBA5D8B06B26B68052,74867AD200E41EDBA5D8B06885C88052  ,E       ,ITelO Vault                                                                                                                                                                                                                                                    
74867AD200E41EDBA5D8B06B26B6A052,74867AD200E41EDBA5D8B06885C8A052  ,E       ,Digital Organizer with State-of-the-Art Storage Encryption                                                                                                                                                                                                     
74867AD200E41EDBA5D8B06B26B6C052,74867AD200E41EDBA5D8B06885C8C052  ,E       ,Notebook Professional 15                                                                                                                                                                                                                                       
74867AD200E41EDBA5D8B06B26B70052,74867AD200E41EDBA5D8B06885C8E052  ,E       ,"Notebook Professional 15 with 2,80 GHz quad core, 15"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro                                                                                                                 "
74867AD200E41EDBA5D8B06B26B72052,74867AD200E41EDBA5D8B06885C90052  ,E       ,Notebook Professional 17                                                                                                                                                                                                                                       
74867AD200E41EDBA5D8B06B26B76052,74867AD200E41EDBA5D8B06885C92052  ,E       ,"Notebook Professional 17 with 2,80 GHz quad core, 17"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro                                                                                                                 "
74867AD200E41EDBA5D8B06B26B78052,74867AD200E41EDBA5D8B06885C94052  ,E       ,ITelO Vault Net                                                                                                                                                                                                                                                
